dim,M,std
advanced_mode,0.926355384531587,0.2611916654124374
electron_density_panel__backface_culling,0.20676883248373154,0.40498824970244024
music,0.14561352356723817,0.3527183370928871
puzzle_dialog__show_beginner,0.03581143646249523,0.18581974459402295
puzzle_dialog__show_old,0.03405242432883594,0.18136387933148335
rank_popups,0.9746272912815156,0.15725436200872556
selection_mode,0.181815851614991,0.3856926855885481
selection_mode__show_notes,0.8282448006613117,0.37716753683053866
sound,0.20883543143857716,0.4064765602275739
switch_middle_right_click,0.011524893706325074,0.10673364292191562
switch_residue_colors,0.014966021268347073,0.12141680063213023
tooltips,0.8796662682990128,0.3253513865283226
view_options__dark_background,0.48528869906794786,0.4997835307659573
view_options__gui_fade,0.7281605346884241,0.4449075976095401
view_options__guide_pulse,0.7326910322421477,0.4425549497114271
view_options__relative_score_coloring,0.36837046269388385,0.48236258655556796
view_options__show_backbone_issues,0.10195221510571695,0.30258546055743424
view_options__show_bondable_atoms,0.21547418032918197,0.4111508943692682
view_options__show_buried_polars,0.015042917973643655,0.12172357451406807
view_options__show_clashes,0.3503221651548988,0.47707079742537434
view_options__show_contact_map_geoms,0.9992726853290699,0.026958962967807407
view_options__show_hbonds,0.5121865257748144,0.4998514665273473
view_options__show_helix_hbonds,0.19788085496320174,0.39840183508893884
view_options__show_issues,0.19584950033161705,0.39685321411256447
view_options__show_non_protein_hbonds,0.16232253682230774,0.36874643165985793
view_options__show_other_hbonds,0.19824931834274784,0.3986809828915641
view_options__show_outlines,0.10495118661228361,0.30649051378624625
view_options__show_residue_burial,0.023959731758659692,0.15292371631866902
view_options__show_sidechain_hbonds,0.26389988048970386,0.44074565632258234
view_options__show_sidechains_with_issues,0.46882960010509217,0.49902746033699547
view_options__show_voids,0.14583460159496583,0.3529403215454468
view_options__sym_chain_colors,0.017157577369299633,0.12985836479840693
view_options__working_pulse_style,0.4174177445555531,0.4931330156111109
Don't Show (Fast),0.5482190402650373,0.49766949289254087
Show All (Slow),0.2713524528446975,0.4446575077291101
Show Stubs,0.1804285068902652,0.3845439647057468
Cartoon,0.5583565892466366,0.4965828314506044
Cartoon Ligand,0.00012816117549430164,0.01132010380727127
Cartoon Thin,0.32718586894879,0.46918575863831935
Line,0.08690609310268593,0.2816973980787065
Line+H,0.005818517367441294,0.07605696695954997
Line+polarH,0.0007945992880646701,0.02817743600890751
Sphere,0.00023389414527710047,0.015291809533404008
Stick,0.0010637377566027036,0.032597641304055756
Stick+H,0.0002499142922138882,0.015806702219642005
Stick+polarH,0.0005318688783013518,0.0230561487199759
Trace Line,0.01745555210232388,0.13096127596784835
Trace Tube,0.0012752036961683013,0.03568721832395432
AAColor,0.006481751450624305,0.08024798034067047
AbegoColor,0.0007273146709301618,0.02695896296780741
CPK,0.001717359751623642,0.04140543958355164
EnzDes,0.007026436446475087,0.08352883117426424
Hydro,0.05143107972586325,0.22087535798294733
Hydro/Score,0.006068431659655182,0.07766341350241618
Hydro/Score+CPK,0.00613571627678969,0.07809013550097367
Hydrophobic,0.0,0.0
Ligand Specific,6.408058774715082e-06,0.002531406271521389
Rainbow,0.043847142165987944,0.20475490296904633
Score,0.09607282117991586,0.2946910826788754
Score/Hydro,0.6532086752299692,0.47594863360900397
Score/Hydro+CPK,0.12727686338339095,0.3332828579910413
